股票代码,股票简称,公告日期,营业收入,营业收入同比增长,营业收入季度环比,净利润,净利润同比增长,净利润季度环比,每股收益,每股净资产,净资产收益率,销售毛利率,每股经营现金流量
688382,益方生物,2022-07-06 00:00:00,,,,-119878249.53,79.2,,-0.26,1.245036442609,-19.06,,-0.217117150804
001336,楚环科技,2022-07-04 00:00:00,120180829.19,128.1597794683,,16335123.73,205.84,,0.27,5.224076343563,5.33,32.7832106631,-0.795398481586
002776,ST柏龙,2022-07-02 00:00:00,10028168.57,-76.1483277918,-71.8308,-31581020.11,-94.03,97.8102,-0.06,0.367437582073,-14.79,-47.6300091752,-0.004175161997
000971,ST高升,2022-07-02 00:00:00,114408064.1,-34.2540525177,-34.7144,-51608921.08,-225.22,87.3062,-0.005,0.758419895135,-6.98,-8.6261474203,-0.058624193892
688375,国博电子,2022-07-01 00:00:00,604646591.82,68.2053788339,,100310832.84,67.63,,0.28,7.386109933583,3.86,31.7638264564,-0.026687926167
688231,隆达股份,2022-07-01 00:00:00,194623624.19,46.7628352357,,15953033.54,1156.96,,0.09,2.809569802523,3.11,20.1355801142,-0.738008654528
600781,*ST辅仁,2022-06-30 00:00:00,349318866.29,-29.3018479962,50.5173,-177265301.53,-360.83,93.3534,-0.28,0.992954086038,-26.3,46.7431808491,0.01335204919
600532,*ST未来,2022-06-30 00:00:00,16959333.93,-96.8810583309,144.7912,-11892275.03,-370.33,92.9022,-0.02,3.406331418448,-0.67,61.180155735,-0.03304667049
002411,*ST必康,2022-06-30 00:00:00,2259440078.94,56.4555349541,9.0374,269697168.36,137.04,118.8368,0.176,5.153556217375,3.95,38.7936032431,0.026129272438
002118,紫鑫药业,2022-06-30 00:00:00,6979164.35,-88.6858027115,-92.0443,-206787624.78,-107.67,68.5388,-0.16,1.988781636948,-7.8,33.2118386064,0.001011753128
300108,*ST吉药,2022-06-29 00:00:00,118015687.61,-28.5856788771,-35.793,-52149950.9,-51.88,64.0235,-0.0783,-0.714328188496,-11.6,28.3271205185,0.005852532252
688332,中科蓝讯,2022-06-28 00:00:00,229344084.77,-5.7218505783,,40160946.42,-15.99,,0.45,10.178505829333,4.49,21.558420205,-0.176315431889
603170,宝立食品,2022-06-28 00:00:00,423962819.96,31.9439758658,,41858004.48,-18.14,,0.12,1.928674826694,6.22,33.0365038291,0.058160893417
001236,弘业期货,2022-06-28 00:00:00,210283134.2,11.0765794824,,7048446.92,-27.59,,0.0078,1.861295544146,,,0.307093004256
301312,智立方,2022-06-27 00:00:00,113954620.98,25.6991440199,,28224204.79,62.42,,0.92,11.860173659025,8.06,45.9395819931,1.932897797709
001230,劲旅环境,2022-06-27 00:00:00,285718993.92,-6.6912836066,,30311764.56,-23.29,,0.36,8.431214952859,4.4,22.5228627461,0.30997267856
688353,华盛锂电,2022-06-24 00:00:00,351840618.33,128.6829009711,,153151366.03,277.61,,1.87,14.470447167927,13.83,65.4482278604,1.999849760488
603235,天新药业,2022-06-23 00:00:00,606085273.19,-5.4279324009,,178149968.96,-13.42,,0.45,5.302871489442,8.91,41.6336704259,0.333232713934
301208,中亦科技,2022-06-23 00:00:00,249804635.3,3.2185584544,,23748196.24,7.0987252704,,0.47,11.2817042946,4.31,28.8331497826,-3.4501679922
301234,五洲医疗,2022-06-22 00:00:00,120483351.89,20.0460409453,,12783160.84,8.2832815135,,0.25,5.403012781176,4.75,19.2116290648,0.266814368235
688053,思科瑞,2022-06-21 00:00:00,50693382.15,22.0583182278,,18878213.63,4.27,,0.25,4.489272405067,5.77,70.2878621406,-0.0648155052
688322,奥比中光,2022-06-20 00:00:00,82596006.36,24.3377450713,,-60909408.41,-38.7,,-0.17,6.257576678806,-2.68,46.2896581989,0.084565774861
301139,元道通信,2022-06-20 00:00:00,416939333.64,64.69317071,,19843347.51,34.54,,0.22,7.420064502286,2.98,10.6424630348,-2.118722097854
001309,德明利,2022-06-20 00:00:00,247996841.35,15.4922156456,,18970100.96,11.38,,0.32,9.5822414395,3.37,21.2239057133,-1.196303068833
301175,中科环保,2022-06-17 00:00:00,306025086.11,-10.0392588596,,48737493.49,10.37,,,1.535892839966,2.59,38.0927557384,0.051283099643
002433,太安堂,2022-06-16 00:00:00,191252969.09,-75.3513821723,-76.6183,-37353612.37,36.89,97.2454,-0.05,5.732404255222,-0.85,35.9637967752,0.0175542878
688400,凌云光,2022-06-15 00:00:00,525519405.28,25.9982717151,,-14645394.65,45.2488825696,,-0.04,4.318222546611,-0.94,31.7288564637,-0.18589913825
688237,超卓航科,2022-06-14 00:00:00,42728647.65,63.8707036455,,25771076.91,67.432718455,,0.38,6.681489558377,5.91,72.1793043221,0.392348087084
601089,福元医药,2022-06-13 00:00:00,747711551.49,22.4288002618,,85591961.48,42.86,,0.24,3.302903841083,6.82,68.4440404311,0.2386308025
001268,联合精密,2022-06-13 00:00:00,175116874.56,8.0907738571,,23640956.41,9.38,,0.29,5.750224387029,5.21,28.944375896,-0.022115580605
600748,上实发展,2022-06-11 00:00:00,984857147.3,-38.0758773923,-80.9184,-9321216.68,-105.13,-107.5288,-0.01,5.429310034092,-0.09,26.4038654482,-0.439488205756
301239,普瑞眼科,2022-06-10 00:00:00,468422199.36,20.7456151803,,37345056.26,28.85,,0.33,8.77948915123,3.86,45.1575922275,1.096425624987
301289,国缆检测,2022-06-09 00:00:00,52722303.45,-5.4063379267,,16766933.27,-14.65,,0.37,9.134156118889,4.16,63.862789231,0.228233797556
